speaker,seconds,rec.date,prompt,label,TT.displacement.sm,TT.velocity,TT.velocity.abs,TD.displacement.sm,TD.velocity,TD.velocity.abs,fan,X,Y,word,language,item,ipa,c1,c1phonation,vowel,anteropost,height,c2,c2phonation,c2place
it01,1.0715,29/11/2016 15:24:22,Dico pata lentamente,max_TT,78.5961,-6.8035,3.9654,67.3833,-33.7334,34.8797,4,43.9837,9.178,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.1095,29/11/2016 15:24:42,Dico paca lentamente,max_TD,68.2631,29.1786,29.3236,82.6025,-5.352,3.2482,4,39.878,-1.1455,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.2045,29/11/2016 15:11:03,Dico pata lentamente,max_TT,77.9391,-7.7305,5.1003,67.281,-34.3418,35.223,5,40.2311,8.0919,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.0835,29/11/2016 15:11:25,Dico paca lentamente,max_TD,65.8686,21.08,20.8683,81.7577,-4.0665,2.2316,5,35.7039,-4.7538,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.1745,29/11/2016 15:13:49,Dico pata lentamente,max_TT,77.9577,-7.3128,4.3659,69.2532,-3.3684,4.3468,5,40.6848,9.3793,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.2835,29/11/2016 15:14:11,Dico paca lentamente,max_TD,67.0699,34.4543,33.3519,81.3661,-5.2757,3.4809,5,35.8958,-4.2093,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.2945,29/11/2016 15:16:15,Dico pata lentamente,max_TT,77.8632,-4.734,2.4014,68.6802,9.2411,7.6962,5,40.3995,8.5696,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.1045,29/11/2016 15:16:36,Dico paca lentamente,max_TD,67.1171,22.9836,23.1647,81.9585,-4.8828,3.1528,5,36.9223,-1.2968,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.1225,29/11/2016 15:18:54,Dico pata lentamente,max_TT,78.7698,-7.0038,4.0302,67.9828,-12.6667,13.8359,5,40.819,9.76,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.0875,29/11/2016 15:19:14,Dico paca lentamente,max_TD,58.1306,65.9409,61.9011,82.7516,-6.2675,3.933,5,32.6313,-13.4724,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
